sentence,ville_origine,ville_arrivee
Aller de Paris Saint-Lazare à Saint-Dié-des-Vosges.,Paris Saint-Lazare,Saint-Dié-des-Vosges
Voyage reliant Lille CHR et La Fère.,Lille CHR,La Fère
Route entre Juan les Pins et Renescure.,Juan les Pins,Renescure
Par où passer pour aller de Neufchâteau à Le Cateau-Cambrésis ?,Neufchâteau,Le Cateau-Cambrésis
Je me déplace de Lisieux vers Langeais.,Lisieux,Langeais
Comment aller de Orry-la-Ville - Coye à Jarrie - Vizille ?,Orry-la-Ville - Coye,Jarrie - Vizille
Au départ de Avenue Foch jusqu’à Domont.,Avenue Foch,Domont
Je cherche à me rendre de La Guierche à Crêches-sur-Saône.,La Guierche,Crêches-sur-Saône
Route Villefranche-sur-Cher Baisieux.,Villefranche-sur-Cher,Baisieux
Comment effectuer le trajet entre Paris Bercy Bourgogne - Pays d'Auvergne et Maresquel-Ecquemicourt ?,Paris Bercy Bourgogne - Pays d'Auvergne,Maresquel-Ecquemicourt
Le Chambon-Feugerolles vers Le Meux - La Croix-Saint-Ouen.,Le Chambon-Feugerolles,Le Meux - La Croix-Saint-Ouen
Axe Onzain - Chaumont-sur-Loire Conflans Fin d'Oise.,Onzain - Chaumont-sur-Loire,Conflans Fin d'Oise
Depuis Vauxaillon jusqu'à Houdemont.,Vauxaillon,Houdemont
Liaison Gundershoffen – Bretoncelles.,Gundershoffen,Bretoncelles
Trajet depuis Stephansfeld vers Vaires - Torcy.,Stephansfeld,Vaires - Torcy
Je vais de Pont de Dore à Ruffey-lès-Echirey.,Pont de Dore,Ruffey-lès-Echirey
Je cherche à me rendre de Danjoutin à Anse Halte.,Danjoutin,Anse Halte
Itinéraire vers Saillat - Chassenon depuis Villars-les-Dombes.,Villars-les-Dombes,Saillat - Chassenon
Trajet Bécon les Bruyères Angers Saint-Laud.,Bécon les Bruyères,Angers Saint-Laud
Voyage de Le Val d'Or à Versigny.,Le Val d'Or,Versigny
Je prévois un déplacement de Morvillars à Conlie.,Morvillars,Conlie
Depuis Lisle-sur-Tarn vers la ville de Génelard.,Lisle-sur-Tarn,Génelard
Chemin de Gardonne à La Rochelle Porte Dauphine.,Gardonne,La Rochelle Porte Dauphine
De Le Fauga en direction de Épinay-sur-Seine T11.,Le Fauga,Épinay-sur-Seine T11
De Montataire en direction de Rives.,Montataire,Rives
Comment rejoindre Pauillac depuis Saint-Georges-de-Reneins ?,Saint-Georges-de-Reneins,Pauillac
Comment rejoindre Chalonnes-sur-Loire en partant de Dreuil-lès-Amiens ?,Dreuil-lès-Amiens,Chalonnes-sur-Loire
Voyage reliant Boucoiran-et-Nozières et Nort-sur-Erdre.,Boucoiran-et-Nozières,Nort-sur-Erdre
Aller simple Dugny - La Courneuve T11 Azay-le-Rideau.,Dugny - La Courneuve T11,Azay-le-Rideau
Je prévois un déplacement de Chocques à Pontrieux Halte.,Chocques,Pontrieux Halte
Au départ de Livron-sur-Drôme jusqu’à Tournemire - Roquefort.,Livron-sur-Drôme,Tournemire - Roquefort
Depuis Le Creusot jusqu'à Orgon.,Le Creusot,Orgon
Comment rejoindre Boigneville depuis Sévérac ?,Sévérac,Boigneville
Du point Les Boullereaux Champigny au point Gonfaron.,Les Boullereaux Champigny,Gonfaron
Par où passer pour aller de Lus-la-Croix-Haute à Le Theil - La Rouge ?,Lus-la-Croix-Haute,Le Theil - La Rouge
Route entre Mionnay et Les Noues.,Mionnay,Les Noues
Itinéraire vers Amboise depuis Limoux.,Limoux,Amboise
Je pars de Mandelieu-la-Napoule en direction de Wallers.,Mandelieu-la-Napoule,Wallers
Depuis Castelnau-d'Estrétefonds vers la ville de La Pomme.,Castelnau-d'Estrétefonds,La Pomme
De Noyen-sur-Sarthe à Négrondes.,Noyen-sur-Sarthe,Négrondes
Liaison directe de Les Abrets - Fitilieu à Triel-sur-Seine.,Les Abrets - Fitilieu,Triel-sur-Seine
Je pars de Nouvion-sur-Meuse en direction de Vitry-le-François.,Nouvion-sur-Meuse,Vitry-le-François
Je pars de La Rochelle Porte Dauphine en direction de Le Dorat.,La Rochelle Porte Dauphine,Le Dorat
